geometry,OBJECTID,NAME,LABEL,Shape_Length
"LINESTRING (-28.434999 44.198002, -28.367001 44.183998)",130,Eurasian:North American,Transform Boundary,0.06942588629212271
"LINESTRING (-28.524 43.768002, -28.513 43.845001, -28.481001 43.931, -28.483 44.022999, -28.455 44.096001, -28.436001 44.145, -28.434999 44.198002)",131,Eurasian:North American,Divergent Boundary,0.44531361878973924
"LINESTRING (-28.796 43.768002, -28.524 43.768002)",132,Eurasian:North American,Transform Boundary,0.27199935928297236
"LINESTRING (-29.174 43.080002, -29.091 43.208, -29.007999 43.389, -28.934 43.493, -28.885 43.627998, -28.84 43.698002, -28.796 43.768002)",133,Eurasian:North American,Divergent Boundary,0.7888320628469317
"LINESTRING (-29.316999 43.081001, -29.174 43.080002)",134,Eurasian:North American,Transform Boundary,0.1430031416442593
"LINESTRING (-126.626999 43.014, -127.570999 43.418999, -128.528 43.818001, -129.498001 44.208, -130.479996 44.589001)",135,Pacific:Juan de Fuca,Transform Boundary,4.1628411243648085
"LINESTRING (-29.372 42.723999, -29.349001 42.838001, -29.327 42.951, -29.316999 43.028, -29.316999 43.081001)",136,Eurasian:North American,Divergent Boundary,0.36206761615641764
"LINESTRING (-29.320999 42.715, -29.372 42.723999)",137,Eurasian:North American,Transform Boundary,0.051788419738012965
"LINESTRING (-29.434999 42.291, -29.392 42.412998, -29.370001 42.527, -29.339001 42.612999, -29.318001 42.674, -29.320999 42.715)",138,Eurasian:North American,Divergent Boundary,0.4424987437189203
"LINESTRING (-29.223 42.289001, -29.434999 42.291)",139,Eurasian:North American,Transform Boundary,0.2120093162782773
